%
% index = 525, name = bbob_f013_i02_d02__bbob_f014_i04_d02
% instance = 1, reference value = 9.459149096508790e-01
% function evaluation | indicator value | target hit
1	1.612736417979231e-01	1.621810097358930e-01
2	1.576334662885143e-01	1.584893192461113e-01
3	1.402373700764127e-01	1.412537544622754e-01
5	1.325503538007755e-01	1.348962882591654e-01
6	1.225160613364819e-01	1.230268770812381e-01
7	9.861643457531277e-02	1.000000000000000e-01
8	8.568874792721926e-02	8.709635899560805e-02
9	8.339339972291460e-02	8.511380382023763e-02
10	7.843724601773383e-02	7.943282347242814e-02
15	6.392281080468476e-02	6.456542290346556e-02
19	6.197724970989271e-02	6.309573444801933e-02
23	6.143305620057882e-02	6.165950018614822e-02
29	5.991947194188496e-02	6.025595860743578e-02
34	5.829826368593016e-02	5.888436553555890e-02
40	5.763415351065360e-02	5.888436553555890e-02
%
% index = 526, name = bbob_f013_i03_d02__bbob_f014_i05_d02
% instance = 2, reference value = 9.823395402434010e-01
% function evaluation | indicator value | target hit
1	5.531077505255440e-01	5.623413251903491e-01
2	5.447226163084324e-01	5.495408738576245e-01
5	5.320584427297190e-01	5.370317963702527e-01
7	5.226197840899047e-01	5.248074602497725e-01
14	5.120172269654905e-01	5.128613839913648e-01
17	4.993591919269247e-01	5.011872336272722e-01
18	4.798633643479774e-01	4.897788193684462e-01
19	4.026779123996169e-01	4.073802778041127e-01
20	1.067954451362552e-01	1.071519305237607e-01
23	8.723933132565387e-02	8.912509381337455e-02
26	8.695781250249413e-02	8.709635899560805e-02
31	8.347425332368952e-02	8.511380382023763e-02
32	7.079828536331378e-02	7.244359600749903e-02
35	7.019526277378485e-02	7.079457843841380e-02
36	6.901550707761794e-02	6.918309709189366e-02
40	6.877919165367274e-02	6.918309709189366e-02
%
% index = 527, name = bbob_f013_i07_d02__bbob_f014_i08_d02
% instance = 3, reference value = 8.087758480474230e-01
% function evaluation | indicator value | target hit
1	1.083400920129070e+01	1.096478196143185e+01
2	9.491212275334753e+00	9.549925860214358e+00
6	8.262244508649990e+00	8.317637711026711e+00
7	4.754957645944127e+00	4.786300923226384e+00
8	3.620996250269423e+00	3.630780547701014e+00
9	3.272758159097279e+00	3.311311214825911e+00
10	3.081709436396192e+00	3.090295432513591e+00
11	2.876480479612794e+00	2.884031503126606e+00
12	2.473699852909260e+00	2.511886431509580e+00
31	2.169192576983923e+00	2.187761623949553e+00
32	7.353811864239553e-01	7.413102413009175e-01
36	6.703137093726381e-01	6.760829753919817e-01
40	6.703137093726381e-01	6.760829753919817e-01
%
% index = 528, name = bbob_f013_i09_d02__bbob_f014_i10_d02
% instance = 4, reference value = 9.132040420959689e-01
% function evaluation | indicator value | target hit
1	3.635750366373834e-01	3.715352290971726e-01
2	3.623877652249611e-01	3.630780547701014e-01
3	3.482053826035822e-01	3.548133892335755e-01
5	3.454193382793515e-01	3.467368504525316e-01
7	3.309307234095816e-01	3.311311214825911e-01
8	3.229901192436300e-01	3.235936569296283e-01
15	3.082523910724914e-01	3.090295432513591e-01
18	2.944979054828069e-01	2.951209226666385e-01
19	2.428216306587034e-01	2.454708915685030e-01
20	1.092607209257667e-01	1.096478196143185e-01
24	1.031164020309099e-01	1.047128548050900e-01
32	1.011204250702850e-01	1.023292992280754e-01
34	9.981567703346372e-02	1.000000000000000e-01
36	9.312666121541502e-02	9.332543007969910e-02
38	6.956861986351148e-02	7.079457843841380e-02
39	6.336211782145107e-02	6.456542290346556e-02
40	6.297325631722372e-02	6.309573444801933e-02
%
% index = 529, name = bbob_f013_i11_d02__bbob_f014_i12_d02
% instance = 5, reference value = 7.714623685932070e-01
% function evaluation | indicator value | target hit
1	9.457918101862069e-01	9.549925860214360e-01
4	9.151425486257071e-01	9.332543007969910e-01
7	8.669508047772071e-01	8.709635899560807e-01
10	7.443018561784527e-01	7.585775750291838e-01
16	6.737052761149165e-01	6.760829753919817e-01
17	6.588656946726976e-01	6.606934480075960e-01
18	5.936632161953166e-01	6.025595860743578e-01
