%
% index = 315, name = bbob_f006_i02_d02__bbob_f013_i04_d02
% instance = 1, reference value = 7.009164384589490e-01
% function evaluation | indicator value | target hit
1	1.237199855677134e+01	1.258925411794167e+01
2	1.195898306233758e+01	1.202264434617413e+01
3	1.126080688720051e+01	1.148153621496883e+01
6	9.950697176433469e+00	1.000000000000000e+01
7	5.942957762598040e+00	6.025595860743578e+00
8	1.801485829333449e+00	1.819700858609983e+00
10	3.134820592495627e-01	3.162277660168379e-01
30	2.327454625917049e-01	2.344228815319922e-01
32	1.753743932452079e-01	1.778279410038923e-01
35	1.499621209399609e-01	1.513561248436208e-01
37	1.379034600042051e-01	1.380384264602885e-01
40	1.148918942024321e-01	1.174897554939529e-01
%
% index = 316, name = bbob_f006_i03_d02__bbob_f013_i05_d02
% instance = 2, reference value = 9.990559688888170e-01
% function evaluation | indicator value | target hit
1	1.813403913551317e+00	1.819700858609983e+00
2	1.601561595277817e+00	1.621810097358930e+00
14	1.288164285937317e+00	1.288249551693134e+00
18	1.051911272785817e+00	1.071519305237606e+00
19	1.001714359470817e+00	1.023292992280754e+00
20	9.886829075753514e-01	1.000000000000000e+00
24	9.690691562918055e-01	9.772372209558107e-01
40	9.660412489019263e-01	9.772372209558107e-01
%
% index = 317, name = bbob_f006_i07_d02__bbob_f013_i08_d02
% instance = 3, reference value = 6.785233584706990e-01
% function evaluation | indicator value | target hit
1	1.297196097242699e+00	1.318256738556407e+00
3	1.260987924662199e+00	1.288249551693134e+00
4	1.254824429578699e+00	1.258925411794167e+00
6	1.199200543320699e+00	1.202264434617413e+00
7	9.793934275926989e-01	1.000000000000000e+00
8	3.023924421789461e-01	3.090295432513591e-01
11	2.112531407362186e-01	2.137962089502232e-01
14	2.033784297803293e-01	2.041737944669530e-01
15	1.978222376761966e-01	1.995262314968880e-01
17	1.803774654972359e-01	1.819700858609984e-01
18	1.592298788688360e-01	1.621810097358930e-01
19	1.501214062618141e-01	1.513561248436208e-01
22	1.446743039261422e-01	1.479108388168208e-01
23	1.395398486082706e-01	1.412537544622754e-01
28	1.376095800226765e-01	1.380384264602885e-01
29	1.306253905818104e-01	1.318256738556407e-01
30	1.288190674652915e-01	1.288249551693134e-01
31	1.185430380901525e-01	1.202264434617413e-01
32	1.135046467657659e-01	1.148153621496883e-01
35	1.108304805879848e-01	1.122018454301964e-01
40	1.093485084344358e-01	1.096478196143185e-01
%
% index = 318, name = bbob_f006_i09_d02__bbob_f013_i10_d02
% instance = 4, reference value = 8.463679847388740e-01
% function evaluation | indicator value | target hit
1	1.170553010706607e+00	1.174897554939530e+00
3	1.067520269380291e+00	1.071519305237606e+00
6	9.746898444031917e-01	9.772372209558107e-01
7	8.296515848643201e-01	8.317637711026710e-01
8	3.718820573164068e-01	3.801893963205612e-01
10	2.814248883584197e-01	2.818382931264454e-01
29	2.310213332701540e-01	2.344228815319922e-01
30	2.037575814200094e-01	2.041737944669530e-01
32	1.737003368762199e-01	1.737800828749375e-01
33	1.693066392352000e-01	1.698243652461744e-01
34	1.639590177647546e-01	1.659586907437560e-01
37	1.614278009852648e-01	1.621810097358930e-01
