%
% index = 1875, name = bbob_f002_i02_d05__bbob_f015_i04_d05
% instance = 1, reference value = 9.919307991520530e-01
% function evaluation | indicator value | target hit
1	7.552902288795988e-01	7.585775750291838e-01
2	7.341054151193335e-01	7.413102413009175e-01
5	6.805772035061006e-01	6.918309709189365e-01
8	6.621475533238669e-01	6.760829753919817e-01
9	5.822420337708554e-01	5.888436553555889e-01
13	5.541352853063810e-01	5.623413251903491e-01
16	5.042249831095065e-01	5.128613839913648e-01
19	4.822537559690901e-01	4.897788193684462e-01
20	4.656542843603073e-01	4.677351412871982e-01
21	4.428933684051214e-01	4.466835921509631e-01
26	4.336779477341703e-01	4.365158322401660e-01
29	4.238798486664427e-01	4.265795188015927e-01
80	4.165899647211396e-01	4.168693834703354e-01
87	4.066301070824095e-01	4.073802778041127e-01
100	4.049820547607127e-01	4.073802778041127e-01
%
% index = 1876, name = bbob_f002_i03_d05__bbob_f015_i05_d05
% instance = 2, reference value = 9.546883606639710e-01
% function evaluation | indicator value | target hit
1	4.674988572499267e-01	4.677351412871982e-01
3	4.524031935033561e-01	4.570881896148750e-01
5	4.243290326230678e-01	4.265795188015927e-01
6	4.100007415287092e-01	4.168693834703354e-01
11	4.027294141337756e-01	4.073802778041127e-01
12	3.676840359307066e-01	3.715352290971726e-01
17	3.619250900846244e-01	3.630780547701014e-01
24	3.501411566465893e-01	3.548133892335755e-01
25	3.295735175356738e-01	3.311311214825911e-01
26	3.235630009258516e-01	3.235936569296283e-01
30	3.152030202661760e-01	3.162277660168379e-01
41	3.084037884604128e-01	3.090295432513591e-01
43	2.846138495759188e-01	2.884031503126606e-01
44	2.105859262513655e-01	2.137962089502232e-01
71	2.059889226174595e-01	2.089296130854039e-01
72	2.025800063968539e-01	2.041737944669530e-01
91	1.983005841160579e-01	1.995262314968880e-01
93	1.889031619374215e-01	1.905460717963247e-01
98	1.834239095049039e-01	1.862087136662867e-01
99	1.798917916748298e-01	1.819700858609984e-01
100	1.798917916748298e-01	1.819700858609984e-01
%
% index = 1877, name = bbob_f002_i07_d05__bbob_f015_i08_d05
% instance = 3, reference value = 9.900383481999010e-01
% function evaluation | indicator value | target hit
1	5.704944946654855e-01	5.754399373371569e-01
3	5.436989001605064e-01	5.495408738576245e-01
6	5.216188650006701e-01	5.248074602497725e-01
15	5.109889052939625e-01	5.128613839913648e-01
16	4.963000749184879e-01	5.011872336272722e-01
24	4.873894278679919e-01	4.897788193684462e-01
26	4.525184238916483e-01	4.570881896148750e-01
36	4.310487409122434e-01	4.365158322401660e-01
42	4.139092915536344e-01	4.168693834703354e-01
43	3.540406699186238e-01	3.548133892335755e-01
44	2.791232556741740e-01	2.818382931264454e-01
66	2.601448303366755e-01	2.630267991895382e-01
72	2.394171548650442e-01	2.398832919019490e-01
73	2.002272434525928e-01	2.041737944669530e-01
74	1.914510621936860e-01	1.949844599758045e-01
82	1.905184682591186e-01	1.905460717963247e-01
94	1.853082577946812e-01	1.862087136662867e-01
100	1.831805034788265e-01	1.862087136662867e-01
%
% index = 1878, name = bbob_f002_i09_d05__bbob_f015_i10_d05
% instance = 4, reference value = 9.848397145374550e-01
% function evaluation | indicator value | target hit
1	8.206452524377541e-01	8.317637711026710e-01
6	7.995661354785384e-01	8.128305161640993e-01
11	7.914395916646388e-01	7.943282347242815e-01
36	7.678844611089624e-01	7.762471166286917e-01
42	7.584144593412792e-01	7.585775750291838e-01
43	7.064348639360499e-01	7.079457843841379e-01
44	6.225667566867437e-01	6.309573444801932e-01
46	6.144826298764569e-01	6.165950018614822e-01
47	5.978203852348618e-01	6.025595860743578e-01
65	5.634453714221932e-01	5.754399373371569e-01
75	5.575826628969274e-01	5.623413251903491e-01
77	5.491577318021690e-01	5.495408738576245e-01
100	5.429423449094923e-01	5.495408738576245e-01
%
% index = 1879, name = bbob_f002_i11_d05__bbob_f015_i12_d05
% instance = 5, reference value = 9.952573041891700e-01
% function evaluation | indicator value | target hit
1	2.725918174305670e+00	2.754228703338166e+00
11	2.552706617456170e+00	2.570395782768863e+00
14	2.405818083590670e+00	2.454708915685031e+00
41	2.258880436559170e+00	2.290867652767773e+00
42	2.128042670355170e+00	2.137962089502232e+00
