%
% index = 1125, name = bbob_f006_i02_d03__bbob_f008_i04_d03
% instance = 1, reference value = 9.115437288636800e-01
% function evaluation | indicator value | target hit
1	1.559607964139180e+00	1.584893192461114e+00
3	1.545730761228680e+00	1.548816618912481e+00
5	1.499960277705180e+00	1.513561248436208e+00
23	1.433580231583680e+00	1.445439770745927e+00
26	1.335422577709180e+00	1.348962882591654e+00
27	1.052077406756180e+00	1.071519305237606e+00
28	8.694900803700880e-01	8.709635899560807e-01
29	6.448849649264639e-01	6.456542290346555e-01
32	6.234130792124954e-01	6.309573444801932e-01
33	5.434486249660561e-01	5.495408738576245e-01
34	4.504269376128049e-01	4.570881896148750e-01
35	4.022482682637684e-01	4.073802778041127e-01
42	3.975393234116330e-01	3.981071705534972e-01
60	3.873692605855504e-01	3.890451449942806e-01
%
% index = 1126, name = bbob_f006_i03_d03__bbob_f008_i05_d03
% instance = 2, reference value = 9.807847057945011e-01
% function evaluation | indicator value | target hit
1	1.068506123684850e+01	1.071519305237607e+01
6	9.543305370332002e+00	9.549925860214358e+00
8	8.485972519093002e+00	8.511380382023766e+00
9	5.172932446274001e+00	5.248074602497725e+00
10	1.388758805630001e+00	1.412537544622754e+00
11	1.149218047932001e+00	1.174897554939530e+00
24	1.067044731365501e+00	1.071519305237606e+00
45	4.657543824516864e-01	4.677351412871982e-01
46	2.548431935402581e-01	2.570395782768864e-01
47	2.324904054058904e-01	2.344228815319922e-01
48	2.054725601751777e-01	2.089296130854039e-01
49	2.008893364691485e-01	2.041737944669530e-01
51	1.951935572318837e-01	1.995262314968880e-01
52	1.947047513596718e-01	1.949844599758045e-01
53	1.546047928976548e-01	1.548816618912481e-01
54	1.219242443245871e-01	1.230268770812381e-01
55	9.903319101835806e-02	1.000000000000000e-01
60	9.903319101835806e-02	1.000000000000000e-01
%
% index = 1127, name = bbob_f006_i07_d03__bbob_f008_i08_d03
% instance = 3, reference value = 9.689543203231920e-01
% function evaluation | indicator value | target hit
1	1.738481993545192e+00	1.778279410038923e+00
4	1.723618191326192e+00	1.737800828749375e+00
5	1.641204660633692e+00	1.659586907437561e+00
8	1.513863772845692e+00	1.548816618912481e+00
9	1.076745781375192e+00	1.096478196143185e+00
10	7.351458958105630e-01	7.413102413009175e-01
41	7.214969249854042e-01	7.244359600749900e-01
43	7.014360730803910e-01	7.079457843841379e-01
44	6.869259169157929e-01	6.918309709189365e-01
45	6.011434857282809e-01	6.025595860743578e-01
46	2.927852652570907e-01	2.951209226666385e-01
47	2.090192777226164e-01	2.137962089502232e-01
48	2.052752095524767e-01	2.089296130854039e-01
49	1.744341890790774e-01	1.778279410038923e-01
51	1.559453176780023e-01	1.584893192461113e-01
56	1.543130066900600e-01	1.548816618912481e-01
57	1.477758221669297e-01	1.479108388168208e-01
58	1.093949269422304e-01	1.096478196143185e-01
59	9.055260965662459e-02	9.120108393559097e-02
60	6.643634932117826e-02	6.760829753919818e-02
%
% index = 1128, name = bbob_f006_i09_d03__bbob_f008_i10_d03
% instance = 4, reference value = 9.540749685970770e-01
% function evaluation | indicator value | target hit
1	2.098464855600077e+00	2.137962089502232e+00
2	1.997511494555577e+00	2.041737944669529e+00
16	1.561512414454077e+00	1.584893192461114e+00
20	1.436958647183577e+00	1.445439770745927e+00
26	1.324563957658077e+00	1.348962882591654e+00
27	1.240161199087577e+00	1.258925411794167e+00
28	9.388102760321626e-01	9.549925860214360e-01
48	8.387778902374766e-01	8.511380382023764e-01
50	7.768607672602346e-01	7.943282347242815e-01
52	6.146543767784289e-01	6.165950018614822e-01
55	1.581173693543286e-01	1.584893192461113e-01
57	1.445502936094186e-01	1.479108388168208e-01
60	1.171742102600214e-01	1.174897554939529e-01
%
% index = 1129, name = bbob_f006_i11_d03__bbob_f008_i12_d03
% instance = 5, reference value = 9.995733772490351e-01
% function evaluation | indicator value | target hit
1	7.294674875293479e+00	7.413102413009175e+00
4	6.607884218438010e+00	6.760829753919817e+00
6	6.525553211809238e+00	6.606934480075959e+00
9	5.780931251033535e+00	5.888436553555890e+00
10	2.648648535818035e+00	2.691534803926916e+00
11	4.851565018081567e-01	4.897788193684462e-01
13	1.678955533506625e-01	1.698243652461744e-01
14	5.095190997720012e-02	5.128613839913648e-02
16	1.168932877340900e-02	1.174897554939530e-02
17	4.890348871555594e-03	4.897788193684461e-03
24	4.670486800504858e-03	4.677351412871981e-03
32	4.518875103042830e-03	4.570881896148752e-03
33	4.309090087865619e-03	4.365158322401661e-03
34	4.224258140220094e-03	4.265795188015926e-03
43	4.163260992045448e-03	4.168693834703355e-03
59	4.025814556399387e-03	4.073802778041126e-03
60	3.949182271855367e-03	3.981071705534973e-03
%
% index = 1130, name = bbob_f006_i13_d03__bbob_f008_i14_d03
% instance = 6, reference value = 8.986981793133270e-01
% function evaluation | indicator value | target hit
1	4.667521469518913e-01	4.677351412871982e-01
3	4.509272154190219e-01	4.570881896148750e-01
9	4.429675439465273e-01	4.466835921509631e-01
21	4.222127588358845e-01	4.265795188015927e-01
26	3.933863013250698e-01	3.981071705534972e-01
27	2.651331688595583e-01	2.691534803926916e-01
28	1.540556740256641e-01	1.548816618912481e-01
29	1.313594704330086e-01	1.318256738556407e-01
30	1.263650616620858e-01	1.288249551693134e-01
31	1.145860814139309e-01	1.148153621496883e-01
39	1.084017305700463e-01	1.096478196143185e-01
43	1.071468229518130e-01	1.071519305237607e-01
45	1.038579642263651e-01	1.047128548050900e-01
55	7.791551248647766e-02	7.943282347242814e-02
56	7.684145670878750e-02	7.762471166286916e-02
